epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1079.42,1.52766,1.70889,1.32863,0.36646,0.3307,0.32811,0.18966,1.42905,1.4339,1.23255,0.000300029,0.000300029,0.000300029
2,1119.57,1.4524,1.24551,1.25604,0.43507,0.36273,0.3532,0.17698,1.42631,1.25886,1.23639,0.000591089,0.000591089,0.000591089
3,1159.45,1.44313,1.21874,1.27718,0.33109,0.2903,0.25505,0.12542,1.63774,1.71627,1.39949,0.000870151,0.000870151,0.000870151
4,1198.47,1.43407,1.1897,1.25733,0.57395,0.33893,0.38578,0.20369,1.3995,1.21916,1.21621,0.000855005,0.000855005,0.000855005
5,1238.52,1.4029,1.13521,1.24698,0.56187,0.34077,0.34206,0.16969,1.50167,1.20546,1.27921,0.000837007,0.000837007,0.000837007
6,1277.94,1.35609,1.05441,1.22581,0.59809,0.35235,0.35581,0.20006,1.36048,1.15147,1.21687,0.000819009,0.000819009,0.000819009
7,1317.52,1.33338,1.03082,1.20832,0.4512,0.34649,0.36523,0.20953,1.29291,1.06154,1.17798,0.000801011,0.000801011,0.000801011
8,1358.63,1.31061,1.00269,1.1935,0.46344,0.37751,0.42092,0.24199,1.30747,1.05293,1.181,0.000783013,0.000783013,0.000783013
9,1400.2,1.30548,0.98127,1.19589,0.47248,0.40441,0.40555,0.24043,1.30175,0.99821,1.17083,0.000765014,0.000765014,0.000765014
10,1440.87,1.28154,0.92655,1.17852,0.5412,0.33289,0.40153,0.21773,1.38404,1.13722,1.24333,0.000747016,0.000747016,0.000747016
11,1480.76,1.28392,0.94281,1.17407,0.70622,0.42507,0.46573,0.27253,1.36996,0.98602,1.19279,0.000729018,0.000729018,0.000729018
12,1522.07,1.25507,0.89891,1.15509,0.65664,0.4625,0.46584,0.26733,1.2796,0.91911,1.15147,0.00071102,0.00071102,0.00071102
13,1561.18,1.2348,0.88035,1.15271,0.52263,0.44726,0.44883,0.25417,1.32397,0.96829,1.19677,0.000693022,0.000693022,0.000693022
14,1601.6,1.24484,0.87758,1.16191,0.65789,0.41828,0.47069,0.2563,1.27731,0.9484,1.16899,0.000675023,0.000675023,0.000675023
15,1641.89,1.21354,0.83022,1.13753,0.56191,0.45219,0.49483,0.27841,1.31791,0.91433,1.18141,0.000657025,0.000657025,0.000657025
16,1682.96,1.20067,0.82454,1.13559,0.57497,0.48272,0.50862,0.29432,1.24792,0.88737,1.15437,0.000639027,0.000639027,0.000639027
17,1724.65,1.18882,0.80988,1.13324,0.62516,0.4234,0.50117,0.29637,1.24374,0.93942,1.15685,0.000621029,0.000621029,0.000621029
18,1765.54,1.17524,0.79154,1.1283,0.61553,0.42129,0.46433,0.27122,1.2672,0.97565,1.1769,0.000603031,0.000603031,0.000603031
